City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Kavieng,-2.5744,150.7967,82.11,75,100,8.12,PG,1648022672
Ushuaia,-54.8,-68.3,37.06,98,90,5.08,AR,1648022585
Jalu,29.0331,21.5482,53.78,42,0,12.5,LY,1648022673
Ribeira Grande,38.5167,-28.7,61.2,63,75,6.91,PT,1648022674
Teya,60.3778,92.6267,26.29,71,100,7.61,RU,1648022675
Nānākuli,21.3906,-158.1547,75.7,73,100,6.91,US,1648022676
Dikson,73.5069,80.5464,15.13,89,100,16.58,RU,1648022090
Provideniya,64.3833,-173.3,11.55,81,33,7.49,RU,1648022677
Morondava,-20.2833,44.2833,82.99,71,99,4.83,MG,1648022678
Hamina,60.5697,27.1979,31.28,88,15,4.63,FI,1648022678
Albany,42.6001,-73.9662,29.73,66,35,1.43,US,1648022679
Bredasdorp,-34.5322,20.0403,74.16,71,98,10.38,ZA,1648022497
Ouro Preto do Oeste,-10.7481,-62.2158,72.01,98,100,2.59,BR,1648022680
Nikolskoye,59.7035,30.7861,41.88,73,78,6.96,RU,1648022681
Shihezi,44.3,86.0333,35.29,99,100,2.04,CN,1648022682
Mahébourg,-20.4081,57.7,86.29,70,40,11.5,MU,1648022163
Muhafazat Lahij,13.1667,44.5833,84.31,46,57,8.61,YE,1648022683
Chālūs,36.655,51.4204,43.52,92,96,4.5,IR,1648022684
La Reforma,18.1,-91.0167,71.85,84,0,7.9,MX,1648022684
Bridgetown,13.1,-59.6167,73.89,83,40,19.57,BB,1648022400
Pevek,69.7008,170.3133,20.8,79,86,15.5,RU,1648022686
Hasaki,35.7333,140.8333,45.28,56,100,13.15,JP,1648022132
Khatanga,71.9667,102.5,5.99,89,100,4.74,RU,1648022688
Tuktoyaktuk,69.4541,-133.0374,-15.99,97,47,11.77,CA,1648022689
Punta Arenas,-53.15,-70.9167,39.11,64,2,19.28,CL,1648022425
Narón,43.5167,-8.1528,55.04,92,100,4.79,ES,1648022690
Machalí,-34.1833,-70.6667,54.1,64,40,0.6,CL,1648022691
Örnsköldsvik,63.2909,18.7153,40.15,75,0,12.66,SE,1648022692
Cape Coast,5.1053,-1.2466,82.76,78,100,10.04,GH,1648022452
Faanui,-16.4833,-151.75,81.5,73,100,12.1,PF,1648022693
Kapaa,22.0752,-159.319,71.58,88,40,18.41,US,1648022620
Måløy,61.9353,5.1136,42.53,63,30,16.62,NO,1648022694
Abapó,-18.8333,-63.4667,61.83,94,36,1.41,BO,1648022695
Itaituba,-4.2761,-55.9836,72.39,99,77,1.95,BR,1648022206
Marsá Maţrūḩ,31.3525,27.2453,54.5,61,40,23.64,EG,1648022696
Rikitea,-23.1203,-134.9692,78.91,74,100,10.36,PF,1648022697
Avarua,-21.2078,-159.775,78.85,89,40,4.61,CK,1648022698
Pokosnoye,55.5258,101.0536,27.97,87,100,5.53,RU,1648022699
Pacifica,37.6138,-122.4869,60.26,90,20,12.66,US,1648022700
Iqaluit,63.7506,-68.5145,-11.31,76,75,2.3,CA,1648022222
Dārāb,28.7519,54.5444,78.46,12,0,3.83,IR,1648022701
Bluff,-46.6,168.3333,60.91,88,53,7.0,NZ,1648022470
Hilo,19.7297,-155.09,73.26,88,75,0.0,US,1648022702
Mora,11.0461,14.1401,87.1,12,100,5.88,CM,1648022703
San Ramon,37.7799,-121.978,62.53,74,0,5.75,US,1648022704
Puerto Ayora,-0.7393,-90.3518,76.55,97,91,6.44,EC,1648022478
Hobart,-42.8794,147.3294,58.86,64,75,9.22,AU,1648022456
Santo Niño,6.435,124.6975,86.83,63,100,2.39,PH,1648022706
George Town,5.4112,100.3354,91.33,62,20,4.61,MY,1648022490
Bambous Virieux,-20.3428,57.7575,86.22,69,75,12.17,MU,1648022707
Leningradskiy,69.3833,178.4167,11.66,90,29,4.34,RU,1648022241
Barentu,15.1139,37.5928,88.02,19,5,4.38,ER,1648022709
São Filipe,14.8961,-24.4956,69.33,73,7,14.45,CV,1648022129
Mataura,-46.1927,168.8643,65.43,74,100,2.44,NZ,1648022711
Busselton,-33.65,115.3333,77.45,37,0,4.09,AU,1648022647
Muros,42.7762,-9.0603,51.84,90,100,4.83,ES,1648022712
Kiunga,-6.1219,141.2906,80.01,83,99,1.25,PG,1648022713
Bandarbeyla,9.4942,50.8122,82.58,61,13,9.35,SO,1648022714
Harper,4.375,-7.7169,80.92,82,100,4.34,LR,1648022714
Sambava,-14.2667,50.1667,85.17,69,60,12.77,MG,1648022325
Castro,-24.7911,-50.0119,53.26,98,65,4.72,BR,1648022473
Te Anau,-45.4167,167.7167,60.78,81,3,3.38,NZ,1648022696
Port Alfred,-33.5906,26.891,78.62,62,6,5.84,ZA,1648022717
Ilulissat,69.2167,-51.1,-10.71,100,97,4.25,GL,1648022334
Chapais,49.7834,-74.8492,15.24,95,30,6.15,CA,1648022718
Fairbanks,64.8378,-147.7164,9.61,58,0,14.97,US,1648022719
Moose Factory,51.2585,-80.6094,6.8,92,0,3.44,CA,1648022244
Kaitangata,-46.2817,169.8464,58.42,98,25,4.23,NZ,1648022720
Constitución,-35.3333,-72.4167,52.45,87,83,4.43,CL,1648022721
Fortuna,40.5982,-124.1573,50.99,94,100,0.0,US,1648022033
Hermanus,-34.4187,19.2345,73.8,81,100,10.49,ZA,1648022722
Tocopilla,-22.092,-70.1979,65.95,77,28,5.28,CL,1648022723
Ust'-Kut,56.7938,105.7672,34.29,73,96,4.63,RU,1648022724
Denpasar,-8.65,115.2167,89.26,70,20,6.91,ID,1648022155
Laguna,38.421,-121.4238,66.31,70,0,1.01,US,1648022172
San Patricio,28.017,-97.5169,56.93,46,0,3.69,US,1648022725
Vila,42.0304,-8.1588,43.68,95,100,4.79,PT,1648022726
Lorengau,-2.0226,147.2712,82.69,75,100,4.7,PG,1648022727
Port Hedland,-20.3167,118.5667,93.25,62,97,18.41,AU,1648022727
Chokurdakh,70.6333,147.9167,-6.59,100,99,5.41,RU,1648022728
Kavaratti,10.5669,72.642,84.06,61,23,6.04,IN,1648022729
Port Augusta,-32.5,137.7667,74.03,45,100,12.82,AU,1648022380
Ketchikan,55.3422,-131.6461,42.78,88,100,6.96,US,1648022250
Saldanha,-33.0117,17.9442,73.99,65,98,3.69,ZA,1648022731
Jamestown,42.097,-79.2353,42.53,46,100,14.97,US,1648022690
Tūkrah,32.5341,20.5791,55.4,54,7,15.52,LY,1648022733
Severo-Kuril'sk,50.6789,156.125,27.36,75,47,12.15,RU,1648022734
Hilton Head,32.2163,-80.7526,68.11,87,100,3.0,US,1648022543
Vaini,-21.2,-175.2,77.16,94,100,1.14,TO,1648022735
Dhidhdhoo,6.8833,73.1,83.48,61,50,8.86,MV,1648022736
Rødbyhavn,54.6544,11.352,48.11,68,28,8.28,DK,1648022737
Galeana,24.8333,-100.0667,38.26,61,0,1.95,MX,1648022739
Hithadhoo,-0.6,73.0833,83.97,67,3,15.03,MV,1648022740
Barrow,71.2906,-156.7887,-18.38,76,0,11.5,US,1648022740
Misratah,32.3754,15.0925,56.12,46,6,8.55,LY,1648022741
Rondonópolis,-16.4708,-54.6356,70.0,95,11,2.55,BR,1648022742
Clyde River,70.4692,-68.5914,-25.37,75,0,2.3,CA,1648022186
New Norfolk,-42.7826,147.0587,58.5,57,71,1.99,AU,1648022743
Arraial do Cabo,-22.9661,-42.0278,74.64,64,45,14.85,BR,1648022744
Baikunthpur,23.25,82.55,99.75,5,8,9.1,IN,1648022744
Oodweyne,9.4092,45.064,83.25,36,4,10.02,SO,1648022745
Inírida,3.8653,-67.9239,72.28,94,26,1.36,CO,1648022746
Elhovo,42.1667,26.5667,48.61,47,37,19.22,BG,1648022747
Port Elizabeth,-33.918,25.5701,76.1,94,100,3.44,ZA,1648022154
Burnie,-41.0667,145.9167,57.7,63,46,10.02,AU,1648022748
Naze,28.3667,129.4833,58.12,87,100,25.64,JP,1648022311
Coyhaique,-45.5752,-72.0662,40.55,98,63,7.2,CL,1648022499
Tiksi,71.6872,128.8694,-7.04,98,21,3.02,RU,1648022750
San Cristobal,7.7669,-72.225,64.06,82,57,1.28,VE,1648022750
Kahului,20.8947,-156.47,75.85,76,40,17.27,US,1648022751
Uíge,-7.6087,15.0613,71.94,81,100,3.91,AO,1648022752
Marabu,4.4148,114.0089,83.71,63,95,6.51,MY,1648022753
Chesma,53.8111,60.6533,33.3,81,33,14.27,RU,1648022753
Inuvik,68.3499,-133.7218,-6.09,93,100,11.68,CA,1648022754
Geraldton,-28.7667,114.6,82.81,44,0,23.02,AU,1648022755
Ostrovnoy,68.0531,39.5131,29.07,81,98,19.35,RU,1648022756
Lebu,-37.6167,-73.65,54.18,81,100,17.27,CL,1648022289
Caravelas,-17.7125,-39.2481,73.17,93,68,5.12,BR,1648022757
Alofi,-19.0595,-169.9187,76.89,94,100,1.14,NU,1648022195
Bengkulu,-3.8004,102.2655,85.8,62,30,9.42,ID,1648022758
Kwinana,-32.25,115.7667,84.81,40,0,12.59,AU,1648022531
Lagoa,39.05,-27.9833,58.89,73,100,10.76,PT,1648022178
Sakakah,29.9697,40.2064,65.48,24,0,14.12,SA,1648022760
Kiruna,67.8557,20.2251,38.32,70,0,17.27,SE,1648022761
Marawi,7.9986,124.2928,75.99,82,63,4.23,PH,1648022762
Sola,-13.8833,167.55,82.89,73,100,13.29,VU,1648022235
Saint George,37.1041,-113.5841,55.26,37,0,16.11,US,1648022763
Pascagoula,30.3658,-88.5561,67.41,96,40,4.61,US,1648022764
Longyearbyen,78.2186,15.6401,3.04,72,40,13.8,SJ,1648022493
Saint Paul Harbor,57.79,-152.4072,29.71,80,100,8.05,US,1648022765
Half Moon Bay,37.4636,-122.4286,61.34,85,100,4.61,US,1648022239
Kuruman,-27.4524,23.4325,70.86,58,88,15.21,ZA,1648022766
Tilichiki,60.4667,166.1,21.09,91,97,8.05,RU,1648022767
Umm Kaddadah,13.6017,26.6876,83.52,13,51,21.23,SD,1648022768
Ancud,-41.8697,-73.8203,46.22,81,100,11.74,CL,1648022768
Torbay,47.6666,-52.7314,30.58,83,74,3.0,CA,1648022681
Cidreira,-30.1811,-50.2056,69.84,81,100,14.09,BR,1648022770
Syracuse,37.0881,15.2792,50.32,48,0,10.02,IT,1648022771
Kiomboi,-4.2667,34.3667,75.56,50,13,4.65,TZ,1648022772
Hambantota,6.1241,81.1185,88.14,79,20,5.75,LK,1648022772
Pangkalanbuun,-2.6833,111.6167,89.71,49,100,1.9,ID,1648022773
Cape Town,-33.9258,18.4232,74.1,71,74,9.31,ZA,1648022767
Palmas Bellas,9.2319,-80.0867,79.0,85,26,10.49,PA,1648022775
Najrān,17.4924,44.1277,85.93,17,21,1.74,SA,1648022776
Buala,-8.145,159.5921,80.51,81,58,3.44,SB,1648022776
Portland,45.5234,-122.6762,56.86,93,0,4.61,US,1648022707
Fereydūnkenār,36.6864,52.5225,44.64,78,100,1.05,IR,1648022778
Bereda,43.2686,-7.5406,51.15,100,93,1.59,ES,1648022779
Vic,41.9271,2.2497,49.53,81,29,6.08,ES,1648022780
Apatou,5.155,-54.3472,72.41,99,100,2.57,GF,1648022781
Pangnirtung,66.1451,-65.7125,-5.17,81,100,2.66,CA,1648022782
Lompoc,34.6391,-120.4579,53.74,82,0,0.0,US,1648022214
Todos Santos,23.45,-110.2167,65.3,28,0,10.49,MX,1648022784
Huoqiu,32.3394,116.2694,56.89,65,90,7.63,CN,1648022784
Nemuro,43.3236,145.575,31.82,83,99,6.42,JP,1648022785
Sarakhs,36.5449,61.1577,53.11,40,12,9.48,IR,1648022786
Maceió,-9.6658,-35.7353,74.64,94,75,1.14,BR,1648022102
Saint-Augustin,51.226,-58.6502,34.11,76,100,26.15,CA,1648022787
Chimbote,-9.0853,-78.5783,68.45,88,95,6.6,PE,1648022688
Talnakh,69.4865,88.3972,13.21,85,100,9.08,RU,1648022788
Qaanaaq,77.484,-69.3632,-7.69,98,100,3.85,GL,1648022789
Flin Flon,54.7682,-101.865,16.41,98,21,3.49,CA,1648022790
Saskylakh,71.9167,114.0833,-7.73,98,73,2.93,RU,1648022200
Labuan,5.2767,115.2417,82.13,75,90,11.41,MY,1648022791
La Ronge,55.1001,-105.2842,22.55,97,100,4.36,CA,1648022589
Mnogovershinnyy,53.9353,139.9242,17.85,79,59,5.82,RU,1648022792
Yakeshi,49.2833,120.7333,30.16,79,99,2.46,CN,1648022793
Sinjār,36.3209,41.8754,54.09,58,92,5.64,IQ,1648022794
Ponta do Sol,32.6667,-17.1,60.06,71,48,12.01,PT,1648022794
Paris,48.8534,2.3488,49.78,60,0,3.44,FR,1648022548
Takoradze,4.8845,-1.7554,82.98,78,100,8.46,GH,1648022796
Ust'-Karsk,52.7011,118.8077,34.36,59,76,0.74,RU,1648022796
Fālākāta,26.5208,89.2055,99.25,16,5,7.65,IN,1648022797
Kasempa,-13.4584,25.8338,66.42,92,100,7.02,ZM,1648022798
Charters Towers,-20.1,146.2667,81.72,49,94,14.41,AU,1648022799
Butaritari,3.0707,172.7902,81.34,73,100,16.35,KI,1648022799
Hofn,64.2539,-15.2082,37.42,87,100,9.22,IS,1648022800
Kruisfontein,-34.0033,24.7314,75.88,47,0,2.37,ZA,1648022801
Palu,-0.8917,119.8707,75.94,94,100,3.15,ID,1648022802
Verkhnevilyuysk,63.4453,120.3167,26.01,83,100,5.73,RU,1648022803
Ngunguru,-35.6167,174.5,64.72,87,6,9.17,NZ,1648022804
Manuk Mangkaw,4.8,119.85,82.9,71,100,4.05,PH,1648022804
Kloulklubed,7.0419,134.2556,82.9,75,12,13.76,PW,1648022805
Bayir,37.2687,28.2167,50.52,45,10,6.06,TR,1648022806
Dingle,10.9995,122.6711,88.84,53,56,11.25,PH,1648022807
East London,-33.0153,27.9116,78.73,59,3,8.63,ZA,1648022751
Atuona,-9.8,-139.0333,79.25,81,100,17.54,PF,1648022808
Qasigiannguit,68.8193,-51.1922,1.65,98,42,5.66,GL,1648022809
Katsuura,35.1333,140.3,48.22,66,100,12.21,JP,1648022809
Mar del Plata,-38.0023,-57.5575,61.88,95,100,1.99,AR,1648022810
Ginir,7.1333,40.7,75.88,38,7,10.96,ET,1648022811
Zyryanka,65.75,150.85,8.55,94,100,4.25,RU,1648022328
Bojnourd,37.4747,57.329,35.83,79,88,4.63,IR,1648022718
Kysyl-Syr,63.8986,122.7617,25.47,89,100,5.75,RU,1648022813
Qujing,25.4833,103.7833,61.59,68,100,13.53,CN,1648022814
Shimoda,34.6667,138.95,47.1,60,100,10.29,JP,1648022815
Itarema,-2.9248,-39.9167,75.27,90,100,7.0,BR,1648022815
Oktyabr'skoye,43.0645,44.7417,35.74,59,40,4.47,RU,1648022816
Prince Rupert,54.3161,-130.3201,39.29,87,100,9.22,CA,1648022817
Tasiilaq,65.6145,-37.6368,2.88,65,100,3.0,GL,1648022818
Karratha,-20.7377,116.8463,97.95,35,100,14.81,AU,1648022819
Mozarlândia,-14.7447,-50.5706,71.15,87,99,3.96,BR,1648022820
Araouane,18.9048,-3.5265,73.04,11,1,9.53,ML,1648022821
Alvarães,-3.2208,-64.8042,71.73,99,43,2.26,BR,1648022346
Paamiut,61.994,-49.6678,13.46,88,100,11.25,GL,1648022308
Tazovsky,67.4667,78.7,6.73,87,100,14.03,RU,1648022822
Nanortalik,60.1432,-45.2371,21.29,78,100,7.45,GL,1648022823
Ishurdi,24.1333,89.0833,101.01,19,31,9.19,BD,1648022824
Canillo,42.5833,1.6667,32.67,58,1,4.25,AD,1648022825
Reinosa,42.9996,-4.138,49.05,80,87,9.15,ES,1648022825
Poum,-20.2333,164.0167,79.7,75,100,12.93,NC,1648022826
Dzaoudzi,-12.7887,45.2699,87.69,74,20,12.66,YT,1648022827
Cherskiy,68.75,161.3,15.82,94,97,3.2,RU,1648022828
Thompson,55.7435,-97.8558,26.44,94,100,4.5,CA,1648022828
Olafsvik,64.8945,-23.7142,32.05,93,100,17.02,IS,1648022829
Sirte,31.2089,16.5887,55.96,54,98,11.25,LY,1648022830
Khor,47.8861,134.9464,30.88,97,99,3.15,RU,1648022390
Coro,11.4045,-69.6734,74.12,85,67,13.67,VE,1648022831
Barela,23.1,80.05,99.41,16,27,9.22,IN,1648022832
Liancheng,24.0519,105.075,53.46,88,100,1.92,CN,1648022833
Wagar,16.1525,36.2032,90.75,21,7,9.08,SD,1648022834
La Santisima Trinidad,-14.8333,-64.9,72.77,98,71,3.69,BO,1648022835
Saint-Philippe,-21.3585,55.7679,87.39,82,20,10.25,RE,1648022835
Odiongan,12.4017,121.9919,84.16,72,80,8.48,PH,1648022836
Kanbe,16.7053,96.0017,87.85,54,100,9.53,MM,1648022837
Wanning,18.8003,110.3967,79.84,81,93,10.22,CN,1648022838
Tadine,-21.55,167.8833,76.24,76,95,9.57,NC,1648022839
Ekhabi,53.5102,142.9671,17.71,82,10,8.79,RU,1648022840
Mungwi,-10.1732,31.3694,69.8,83,83,2.89,ZM,1648022840
Nuuk,64.1835,-51.7216,12.81,85,100,14.97,GL,1648022841
Dohad,22.8333,74.2667,99.1,8,5,4.68,IN,1648022811
Sungai Penuh,-2.0833,101.3833,81.93,45,8,7.07,ID,1648022843
Sistranda,63.7256,8.834,42.76,67,62,21.99,NO,1648022844
Chui,-33.6971,-53.4616,66.99,95,93,3.78,UY,1648022845
Kadhan,24.481,68.9859,98.35,12,4,20.04,PK,1648022846
Yumen,40.2833,97.2,64.69,13,72,0.89,CN,1648022847
Departamento de Maldonado,-34.6667,-54.9167,67.23,90,94,2.82,UY,1648022606
Arman',59.7,150.1667,16.0,80,86,5.66,RU,1648022848
Bundaberg,-24.85,152.35,77.29,73,26,9.22,AU,1648022849
Sørland,67.667,12.6934,44.46,91,100,33.71,NO,1648022850
Vestmannaeyjar,63.4427,-20.2734,43.79,100,100,8.05,IS,1648022850
Saraland,30.8207,-88.0706,68.13,85,100,8.43,US,1648022851
Abengourou,6.7297,-3.4964,78.73,83,79,4.16,CI,1648022852
Hervey Bay,-25.2986,152.8535,81.01,68,0,8.99,AU,1648022852
Cayenne,4.9333,-52.3333,74.08,1,100,3.44,GF,1648022853
Forio,40.7342,13.8646,58.82,53,0,3.0,IT,1648022854
St. George's,12.0564,-61.7485,76.68,78,20,9.22,GD,1648022855
Vila Franca do Campo,37.7167,-25.4333,59.2,85,93,5.77,PT,1648022290
Antalaha,-14.9003,50.2788,83.82,78,65,8.46,MG,1648022856
Camalú,30.85,-116.0667,62.47,58,0,2.26,MX,1648022857
Baykit,61.67,96.37,26.37,80,100,3.11,RU,1648022857
Sitka,57.0531,-135.33,42.69,70,100,23.02,US,1648022859
Lahad Datu,5.0268,118.327,81.72,85,99,2.86,MY,1648022859
Haines Junction,60.7522,-137.5108,14.81,97,100,2.75,CA,1648022860
Grand Baie,-20.0182,57.5802,86.45,71,100,10.0,MU,1648022723
Broken Hill,-31.95,141.4333,73.76,40,100,11.81,AU,1648022861
Whitehills,57.6667,-2.5833,52.81,83,88,8.34,GB,1648022862
Kichera,55.9375,110.0997,24.1,86,100,3.06,RU,1648022863
Carutapera,-1.195,-46.02,75.0,94,100,3.4,BR,1648022864
Auki,-8.7676,160.7034,78.24,87,100,2.8,SB,1648022865
Challans,46.8436,-1.8749,47.32,71,21,12.55,FR,1648022866
Celestún,20.8667,-90.4,77.09,75,16,14.72,MX,1648022319
Bathsheba,13.2167,-59.5167,74.01,83,40,10.36,BB,1648022867
Palana,59.1167,159.9667,17.31,88,100,5.59,RU,1648022867
Enid,36.3956,-97.8784,41.31,68,0,16.11,US,1648022868
Sisimiut,66.9395,-53.6735,-5.71,86,8,7.49,GL,1648022869
Byron Bay,-28.65,153.6167,80.49,83,1,9.66,AU,1648022377
Bima,-8.4667,118.7167,83.71,82,100,4.12,ID,1648022870
Husavik,66.0449,-17.3389,26.6,89,83,6.13,IS,1648022871
Lethem,3.3803,-59.7968,75.6,77,82,10.92,GY,1648022872
Grand-Lahou,5.1367,-5.0242,82.04,81,100,7.02,CI,1648022872
Yellowknife,62.456,-114.3525,7.41,91,100,14.97,CA,1648022874
Kang,-23.6752,22.7876,75.94,40,0,14.23,BW,1648022875
Alice Springs,-23.7,133.8833,94.55,15,48,5.75,AU,1648022876
Namatanai,-3.6667,152.4333,81.3,77,100,6.2,PG,1648022876
Petrozavodsk,61.7849,34.3469,38.66,52,0,8.95,RU,1648022877
Bokoro,12.3807,17.0568,87.62,12,48,17.43,TD,1648022878
Ayan,56.45,138.1667,21.88,71,56,6.29,RU,1648022879
Lüderitz,-26.6481,15.1594,71.17,65,0,10.04,NA,1648022879
Punta Alta,-38.8759,-62.0736,65.17,65,0,12.39,AR,1648022880
Nome,64.5011,-165.4064,9.16,56,0,5.75,US,1648022881
Calbuco,-41.768,-73.1273,47.41,80,100,13.18,CL,1648022882
Znamenskoye,57.1281,73.8282,27.18,91,100,6.6,RU,1648022882
Ipixuna,-1.7625,-48.8043,72.19,99,100,1.39,BR,1648022883
Vanimo,-2.6741,141.3028,83.1,75,100,4.59,PG,1648022884
