City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Scalea,39.813,15.7956,55.18,46,0,2.77,IT,1648022885
Shakiso,5.75,38.9167,74.52,54,64,5.3,ET,1648022885
Jacareacanga,-6.2222,-57.7528,71.73,99,94,0.98,BR,1648022886
Urucará,-2.5364,-57.76,73.69,98,100,2.33,BR,1648022887
Mariental,-24.6333,17.9667,81.27,34,6,21.81,NA,1648022888
Porto-Novo,6.4965,2.6036,85.44,69,100,8.43,BJ,1648022888
Ushtobe,45.2514,77.9838,35.76,84,100,9.01,KZ,1648022889
Madimba,-10.4,40.3333,84.47,71,55,7.96,TZ,1648022890
Mount Gambier,-37.8333,140.7667,59.97,56,3,6.13,AU,1648022876
Longido,-2.7333,36.6833,78.51,43,10,6.13,TZ,1648022891
Gushikawa,26.3544,127.8686,65.43,97,100,20.71,JP,1648022892
Khonsa,27.0167,95.5667,86.7,27,27,3.18,IN,1648022892
Altamira,-3.2033,-52.2064,71.06,99,48,1.52,BR,1648022893
Pueblo Nuevo,23.3833,-105.3833,41.9,32,0,6.15,MX,1648022894
Vardø,70.3705,31.1107,28.38,74,75,8.05,NO,1648022895
Amapá,1.0,-52.0,69.26,100,46,1.07,BR,1648022895
Yuncheng,35.0231,110.9928,67.3,34,0,1.05,CN,1648022896
Forsytheganj,52.6333,29.7333,48.36,61,0,4.43,BY,1648022897
Orimattila,60.8049,25.7296,39.31,77,1,4.32,FI,1648022898
Omboué,-1.5746,9.2618,82.83,75,97,3.51,GA,1648022314
Tura,25.5198,90.2201,96.69,17,5,9.48,IN,1648022899
Gisborne,-38.6533,178.0042,63.95,98,100,16.91,NZ,1648022900
Acapulco de Juárez,16.8634,-99.8901,71.42,83,20,3.44,MX,1648022901
Saint-Pierre,-21.3393,55.4781,87.48,73,0,8.05,RE,1648022407
Chipata,-13.6333,32.65,70.56,73,86,4.41,ZM,1648022902
Whitecourt,54.1502,-115.6855,32.76,95,100,0.78,CA,1648022746
Quesnel,52.9999,-122.5029,46.38,83,100,14.85,CA,1648022612
San Miguel de Tucumán,-26.8241,-65.2226,68.0,88,100,5.75,AR,1648022904
Gwadar,25.1216,62.3254,80.1,54,0,9.75,PK,1648022905
Moussoro,13.6408,16.4901,81.1,14,100,20.38,TD,1648022905
Asău,46.4333,26.4,49.28,49,0,6.62,RO,1648022906
Duayaw-Nkwanta,7.1724,-2.1028,76.23,87,99,4.59,GH,1648022907
Darhan,49.4867,105.9228,42.39,18,88,8.59,MN,1648022908
Luancheng,37.8792,114.6517,71.6,18,2,8.86,CN,1648022908
Eureka,40.8021,-124.1637,51.26,78,74,3.0,US,1648022365
Gannan,47.9147,123.5031,42.55,37,100,6.85,CN,1648022910
Sechura,-5.5569,-80.8222,70.97,79,97,9.01,PE,1648022910
Rundu,-17.9333,19.7667,75.42,57,17,9.8,NA,1648022911
Yerbogachën,61.2767,108.0108,25.52,77,100,6.46,RU,1648022912
Salalah,17.0151,54.0924,86.09,48,0,11.5,OM,1648022912
Southbridge,42.0751,-72.0334,32.56,66,31,4.79,US,1648022648
Palwal,28.15,77.3333,101.43,6,0,13.31,IN,1648022914
Nexø,55.0607,15.1306,44.69,75,37,9.53,DK,1648022914
Upernavik,72.7868,-56.1549,-3.86,98,100,6.85,GL,1648022915
São João da Barra,-21.6403,-41.0511,72.59,71,37,7.25,BR,1648022916
Mackay,-21.15,149.2,80.69,68,1,7.34,AU,1648022768
Carnarvon,-24.8667,113.6333,84.27,58,40,9.22,AU,1648022917
Piteå,65.3172,21.4794,39.29,81,22,3.74,SE,1648022918
Port Lincoln,-34.7333,135.8667,63.19,60,100,11.92,AU,1648022919
Viedma,-40.8135,-62.9967,65.39,49,0,18.28,AR,1648022919
Soto la Marina,23.7667,-98.2167,61.66,68,5,6.42,MX,1648022920
Aitape,-3.1374,142.3475,82.4,74,100,3.15,PG,1648022921
Grindavik,63.8424,-22.4338,39.67,93,75,12.66,IS,1648022922
Esperance,-33.8667,121.9,65.23,54,70,11.81,AU,1648022923
Matagami,49.7502,-77.6328,8.89,99,96,4.07,CA,1648022924
Benalla,-36.55,145.9833,66.85,40,54,13.35,AU,1648022924
Dalvik,65.9702,-18.5286,26.82,85,98,4.81,IS,1648022925
Luanda,-8.8368,13.2343,79.18,74,83,5.99,AO,1648022712
Bollnäs,61.3482,16.3946,41.09,66,10,8.79,SE,1648022926
Biltine,14.5333,20.9167,89.62,10,100,15.37,TD,1648022927
Ibrā’,22.6906,58.5334,92.12,11,9,2.64,OM,1648022928
Jacksonville,30.3322,-81.6556,71.71,80,75,18.41,US,1648022871
Kérouané,9.2667,-9.0167,77.59,66,85,4.7,GN,1648022929
Goba,7.0167,39.9833,66.76,47,31,5.99,ET,1648022930
Nago,26.5881,127.9761,65.25,87,100,23.13,JP,1648022931
Samarai,-10.6167,150.6667,83.91,72,98,2.66,PG,1648022931
Srednekolymsk,67.45,153.6833,10.24,96,98,3.91,RU,1648022932
Honiara,-9.4333,159.95,80.04,83,100,1.54,SB,1648022790
Colwyn Bay,53.2948,-3.7267,56.21,75,0,6.15,GB,1648022933
Oranjestad,12.524,-70.027,77.85,83,10,24.61,AW,1648022934
Chara,56.9064,118.2631,22.71,73,81,1.21,RU,1648022935
Shenjiamen,29.9576,122.298,48.69,67,0,14.58,CN,1648022935
Bud,39.447,-86.1758,59.41,95,100,18.48,US,1648022936
São Félix do Xingu,-6.6447,-51.995,69.94,99,99,1.01,BR,1648022937
Peñarroya-Pueblonuevo,38.3,-5.2667,48.45,88,100,13.89,ES,1648022938
Hobbs,32.7026,-103.136,36.81,50,96,5.99,US,1648022938
Itoman,26.1247,127.6694,66.22,96,75,33.38,JP,1648022940
Turukhansk,65.8167,87.9833,23.32,77,99,9.93,RU,1648022940
Touros,-5.1989,-35.4608,77.29,89,100,7.92,BR,1648022941
San Quintín,30.4833,-115.95,60.12,78,0,1.9,MX,1648022942
Isangel,-19.55,169.2667,79.05,87,98,7.76,VU,1648022943
Maumere,-8.6199,122.2111,83.19,78,100,4.83,ID,1648022943
Andreiaşu de Jos,45.75,26.8333,48.27,43,0,9.78,RO,1648022945
Pudozh,61.8099,36.5345,30.99,97,100,6.6,RU,1648022946
Mana,5.6592,-53.7767,71.55,97,100,2.35,GF,1648022773
Mogadishu,2.0371,45.3438,83.73,68,29,10.63,SO,1648022947
Kingisepp,59.3733,28.6134,38.03,75,73,5.1,RU,1648022948
El Tigre,8.8875,-64.2454,71.74,75,5,14.14,VE,1648022949
Los Llanos de Aridane,28.6585,-17.9182,57.13,81,20,8.05,ES,1648022949
Sinegorskiy,48.0139,40.8447,42.24,37,8,5.32,RU,1648022951
Jiménez,28.3333,-105.4,44.65,43,0,3.98,MX,1648022951
Wewak,-3.5534,143.6268,82.76,76,100,2.33,PG,1648022952
Iberia,29.9502,-91.7507,53.56,71,0,8.05,US,1648022953
Nishihara,26.1842,127.7558,65.48,97,100,33.38,JP,1648022954
Pravdinsk,54.4429,21.0179,49.78,54,29,5.03,RU,1648022955
Pineville,31.3224,-92.4343,51.69,70,100,11.5,US,1648022955
Plettenberg Bay,-34.0527,23.3716,74.35,64,0,4.12,ZA,1648022381
Sabang,5.8933,95.3214,83.46,74,79,14.36,ID,1648022957
Leh,34.1667,77.5833,35.42,49,0,4.7,IN,1648022957
Ilebo,-4.3167,20.5833,77.25,69,99,3.06,CD,1648022958
Encheng,22.1839,112.3026,62.4,88,100,7.67,CN,1648022960
Zhigansk,66.7697,123.3711,10.6,92,100,5.77,RU,1648022961
Paracatu,-17.2222,-46.8747,62.1,94,6,3.8,BR,1648022961
Hiji,33.3667,131.5333,46.29,95,100,4.21,JP,1648022962
Abu Samrah,35.3029,37.1841,50.29,52,6,2.21,SY,1648022963
Tāybād,34.74,60.7756,51.39,42,0,23.8,IR,1648022952
Norman Wells,65.282,-126.8329,4.89,97,100,3.94,CA,1648022964
Palmer,42.1584,-72.3287,32.18,65,0,0.0,US,1648022965
Mehamn,71.0357,27.8492,30.11,67,100,5.68,NO,1648022966
Flinders,-34.5833,150.8552,70.18,72,100,3.0,AU,1648022966
Aksu,41.1231,80.2644,55.33,41,82,2.77,CN,1648022967
Marystown,47.1666,-55.1483,30.85,100,100,9.86,CA,1648022702
Hong Kong,22.2855,114.1577,64.33,92,100,3.0,HK,1648022749
Havelock,34.8791,-76.9013,62.92,90,100,5.14,US,1648022969
Puerto Escondido,15.85,-97.0667,77.14,76,5,6.08,MX,1648022970
Deputatsky,69.3,139.9,-5.46,96,79,3.87,RU,1648022970
Līsakovsk,52.5369,62.4936,30.34,86,16,15.05,KZ,1648022971
Yarkovo,57.4028,67.0786,30.96,86,98,13.15,RU,1648022972
Matadi,-5.8167,13.45,81.68,73,100,5.01,CD,1648022973
Dali,25.7,100.1833,70.68,38,97,8.39,CN,1648022973
Lavrentiya,65.5833,-171.0,3.56,79,6,5.79,RU,1648022974
Guerrero Negro,27.9769,-114.0611,60.22,77,0,10.71,MX,1648022975
Santo Tomas,14.1079,121.1414,91.56,58,100,4.03,PH,1648022976
Sept-Îles,50.2001,-66.3821,29.05,65,69,5.01,CA,1648022976
Tshela,-4.9833,12.9333,80.71,74,94,1.79,CD,1648022977
Río Gallegos,-51.6226,-69.2181,39.25,65,0,17.27,AR,1648022978
Cabo San Lucas,22.8909,-109.9124,68.5,52,0,2.33,MX,1648022462
Katangli,51.7102,143.2326,24.15,76,53,7.96,RU,1648022980
Marsh Harbour,26.5412,-77.0636,74.25,79,61,16.08,BS,1648022980
Astoria,46.1879,-123.8313,50.59,98,100,5.75,US,1648022746
Port Blair,11.6667,92.75,86.04,66,40,9.22,IN,1648022982
Bethel,41.3712,-73.414,38.48,60,0,4.61,US,1648022698
Yatsuomachi-higashikumisaka,36.5667,137.1333,45.21,54,100,1.03,JP,1648022983
Berlevåg,70.8578,29.0864,30.15,47,75,8.05,NO,1648022984
Naviraí,-23.065,-54.1906,71.6,79,53,8.68,BR,1648022985
Sur,22.5667,59.5289,86.29,36,2,7.78,OM,1648022986
Dossor,47.5272,52.9811,37.69,54,5,8.68,KZ,1648022986
Şahbuz,39.4072,45.5739,37.0,72,95,3.85,AZ,1648022987
Vuktyl,63.8567,57.3094,30.31,78,100,13.13,RU,1648022988
Puno,-15.8333,-70.0333,42.12,89,85,3.69,PE,1648022769
Ouésso,1.6136,16.0517,83.71,54,88,3.98,CG,1648022989
Santa Cruz de la Sierra,-17.8,-63.1667,72.86,94,75,11.5,BO,1648022990
Malé,4.1748,73.5089,82.81,66,9,11.32,MV,1648022991
Filingué,14.3521,3.3168,85.24,11,84,12.44,NE,1648022992
Townsville,-19.25,146.8,81.48,61,20,10.36,AU,1648022992
Biscarrosse,44.3945,-1.1672,42.75,81,0,3.44,FR,1648022993
Gravelbourg,49.8834,-106.5512,34.32,67,13,5.64,CA,1648022994
Bilibino,68.0546,166.4372,9.16,96,29,4.38,RU,1648022995
Mount Isa,-20.7333,139.5,96.57,16,40,4.61,AU,1648022995
Aklavik,68.2191,-135.0107,-7.96,98,100,15.75,CA,1648022996
Adrar,20.5022,-10.0711,68.99,15,9,8.68,MR,1648022997
Biga,40.2281,27.2422,47.05,79,100,17.96,TR,1648022998
Penzance,50.1186,-5.5371,51.12,87,0,16.11,GB,1648022998
Yar-Sale,66.8333,70.8333,21.09,93,70,14.58,RU,1648022999
Vao,-22.6667,167.4833,77.22,65,42,7.61,NC,1648023000
Saint Lawrence,36.0553,14.204,55.85,62,0,3.0,MT,1648023001
Jaisalmer,26.9147,70.9181,96.46,12,0,19.22,IN,1648023001
Mairinque,-23.5458,-47.1833,58.8,96,15,3.31,BR,1648023003
Gorontalo,0.5412,123.0595,78.76,90,100,3.6,ID,1648023004
Morro Bay,35.3658,-120.8499,60.15,81,0,3.02,US,1648022952
Primorka,47.2836,39.0625,41.83,43,1,10.16,RU,1648023005
Muroto-misakicho,33.2833,134.15,53.58,75,100,12.39,JP,1648023006
Florianópolis,-27.6146,-48.5012,69.69,94,75,6.91,BR,1648023007
Port Hardy,50.6996,-127.4199,50.18,81,75,11.5,CA,1648023007
Riyadh,24.6877,46.7219,87.94,7,4,10.02,SA,1648023004
Antibes,43.5624,7.1278,60.13,39,0,16.11,FR,1648023009
Broome,42.2506,-75.833,32.67,61,0,5.75,US,1648023009
Miloslavskoye,53.5815,39.4399,32.92,100,19,4.5,RU,1648023010
Ormara,25.2088,64.6357,77.56,66,0,16.44,PK,1648023011
Burē,10.7,37.0667,82.35,14,21,1.97,ET,1648023012
Gillette,44.2911,-105.5022,30.94,62,0,12.66,US,1648023004
Kailua,21.4022,-157.7394,75.74,79,100,5.01,US,1648022846
Obregon,11.9566,-85.9636,76.55,74,5,6.89,NI,1648023014
Segezha,63.7415,34.3222,33.03,87,35,8.41,RU,1648023015
Petropavlovsk-Kamchatskiy,53.0452,158.6483,27.19,54,20,8.95,RU,1648023015
Nagtipunan,16.2167,121.6,87.3,60,18,3.76,PH,1648023016
Manono,-7.3,27.4167,74.03,83,100,1.95,CD,1648023017
Caceres,39.522,-6.3748,49.06,90,100,15.75,ES,1648023018
Mujiayingzi,42.1167,118.7833,46.74,27,100,15.66,CN,1648023018
Waingapu,-9.6567,120.2641,85.33,73,91,6.33,ID,1648023019
Sabha,27.0377,14.4283,52.65,41,0,14.85,LY,1648023020
Kuopio,62.8924,27.677,31.95,69,0,3.44,FI,1648023020
Severnyy,50.677,36.5532,42.84,56,0,8.95,RU,1648023021
Kenai,60.5544,-151.2583,31.14,60,100,11.5,US,1648023022
Loandjili,-4.7561,11.8578,81.34,82,92,1.81,CG,1648023023
Vanavara,60.34,102.2797,28.44,80,100,4.72,RU,1648023023
Kununurra,-15.7667,128.7333,94.98,52,98,10.36,AU,1648023024
Timmins,48.4669,-81.3331,24.22,93,100,8.14,CA,1648022746
Bubaque,11.2833,-15.8333,76.35,62,53,5.61,GW,1648023026
Muromtsevo,56.3724,75.2418,25.59,92,100,10.2,RU,1648023027
Uruaçu,-14.5247,-49.1408,67.48,81,15,4.38,BR,1648023028
Bonavista,48.6499,-53.1147,29.39,86,100,13.98,CA,1648023028
Laas,46.6166,10.7002,43.02,54,0,1.88,IT,1648023029
Richards Bay,-28.783,32.0377,80.71,55,57,10.18,ZA,1648023030
Bertoua,4.5833,13.6833,82.11,53,84,4.38,CM,1648023031
Champerico,14.3,-91.9167,79.39,73,37,8.08,GT,1648023031
Walvis Bay,-22.9575,14.5053,65.08,91,99,9.55,NA,1648023032
Emerald,-23.5333,148.1667,90.34,29,74,4.79,AU,1648022926
Lumberton,34.6182,-79.0086,57.51,87,100,6.87,US,1648023033
Gravdal,68.1214,13.5031,44.49,93,75,11.5,NO,1648023034
Kaduqli,11.0167,29.7167,96.06,5,74,9.26,SD,1648023035
Xicoténcatl,23.0167,-98.8833,65.53,51,1,10.65,MX,1648023035
Cockburn Town,21.4612,-71.1419,77.22,75,0,22.77,TC,1648022745
Panguna,-6.3164,155.4848,70.81,94,100,1.48,PG,1648023037
Souillac,-20.5167,57.5167,84.94,68,70,12.8,MU,1648023038
Pareora,-44.4871,171.2132,63.18,96,100,7.7,NZ,1648023039
Codrington,-38.2667,141.9667,59.94,57,17,6.6,AU,1648023039
Boa Vista,2.8197,-60.6733,78.78,69,0,16.11,BR,1648023040
Puri,19.8,85.85,97.32,72,90,14.54,IN,1648023041
Manggar,-2.8833,108.2667,85.66,65,57,8.63,ID,1648022840
Kerchevskiy,59.946,56.2884,34.83,78,91,12.19,RU,1648023043
Agadez,19.75,10.25,65.44,18,4,13.56,NE,1648022916
Ambatondrazaka,-17.8333,48.4167,78.08,68,76,6.29,MG,1648023044
Tsementnyy,57.4678,60.1439,33.49,77,94,14.99,RU,1648023045
Sobolevo,54.4299,31.8996,33.17,99,96,4.43,RU,1648023045
Mareeba,-17.0,145.4333,78.48,76,35,5.57,AU,1648023046
Henties Bay,-22.116,14.2845,68.61,89,50,10.0,NA,1648023047
Salinas,36.6777,-121.6555,60.01,88,0,3.44,US,1648023048
Jena,50.9333,11.5833,54.64,35,0,1.86,DE,1648023049
Trofaiach,47.4167,15.0,35.26,28,0,2.59,AT,1648023050
Cam Ranh,11.9214,109.1591,89.56,62,20,11.5,VN,1648023050
Chengde,40.9725,117.9361,47.12,59,100,7.85,CN,1648023051
Tucupita,9.0622,-62.051,67.69,95,8,2.46,VE,1648023052
Zaysan,47.4667,84.8667,28.4,82,100,15.86,KZ,1648023053
Kargopol',61.5071,38.9456,33.93,92,100,8.63,RU,1648023053
Qaqortoq,60.7167,-46.0333,17.33,75,100,6.67,GL,1648023054
Pacific Grove,36.6177,-121.9166,57.24,90,0,5.99,US,1648023055
Santa Marinella,42.0345,11.8536,53.69,47,0,1.7,IT,1648023056
Pucallpa,-8.3791,-74.5539,71.94,99,61,1.45,PE,1648023056
Yangi Marg`ilon,40.4272,71.7189,45.32,87,75,13.8,UZ,1648023057
Athabasca,54.7169,-113.2854,35.19,88,100,6.35,CA,1648023058
Turmero,10.2239,-67.4729,67.5,73,66,3.22,VE,1648023058
Korhogo,9.45,-5.6333,81.55,59,42,9.33,CI,1648023059
Daru,-9.0763,143.2092,79.11,87,87,0.45,PG,1648023009
Lieksa,63.3167,30.0167,28.76,88,25,3.09,FI,1648023061
Santarém,-2.4431,-54.7083,78.93,94,40,4.61,BR,1648023061
Stann Creek Town,16.9692,-88.2321,79.27,80,22,12.84,BZ,1648023063
Padang,-0.9492,100.3543,87.85,64,12,5.99,ID,1648023063
Mitú,1.1983,-70.1733,72.41,99,100,1.36,CO,1648023064
Taos,36.4072,-105.5731,28.26,73,0,3.0,US,1648023065
Sibolga,1.7427,98.7792,85.84,65,92,5.64,ID,1648023066
Sainte-Suzanne,-20.9061,55.6089,88.02,75,20,17.27,RE,1648023066
Gazli,40.1333,63.45,45.27,50,57,6.24,UZ,1648023067
Tarko-Sale,64.9225,77.785,15.13,85,62,12.62,RU,1648023068
Voh,-20.9667,164.7,77.05,82,90,4.83,NC,1648023069
Jinchang,38.4953,102.1739,60.22,15,0,16.69,CN,1648023069
Tottori-shi,35.5,134.2333,44.94,79,100,0.92,JP,1648023070
Bonga,7.2833,36.2333,72.99,61,90,1.3,ET,1648023071
Kaeo,-35.1,173.7833,66.33,85,6,6.58,NZ,1648023071
Terney,45.0503,136.6092,37.09,73,100,6.69,RU,1648023072
Payo,-3.7508,103.6372,93.96,39,19,3.89,ID,1648023073
Jishou,28.3167,109.7167,60.44,65,98,3.4,CN,1648023074
Solnechnyy,50.7214,136.6319,28.27,89,96,3.78,RU,1648023075
Nālūt,30.3333,10.85,51.28,47,4,17.13,LY,1648023076
El Dorado,38.7666,-120.5177,55.85,72,0,3.0,US,1648023077
Neepawa,50.2289,-99.4664,29.61,86,89,8.37,CA,1648023077
Meulaboh,4.1363,96.1285,85.95,66,89,6.38,ID,1648023078
São José da Coroa Grande,-8.8978,-35.1478,76.62,88,62,1.07,BR,1648023079
Hobyo,5.3505,48.5268,84.85,57,65,8.05,SO,1648023080
Kieta,-6.2167,155.6333,80.83,81,93,4.54,PG,1648023080
Havre-St-Pierre,50.2334,-63.5986,29.43,66,100,28.79,CA,1648023081
Presidente Médici,-11.1753,-61.9014,70.79,97,94,2.21,BR,1648023082
Tezu,27.9167,96.1667,99.7,15,0,4.76,IN,1648023083
Kiryat Gat,31.61,34.7642,58.78,43,52,15.3,IL,1648023083
Zhangaözen,43.3,52.8,38.52,33,0,10.65,KZ,1648023084
Kapoeta,4.7717,33.5903,80.73,55,98,9.71,SS,1648023085
Rongcheng,30.634,117.8517,54.36,73,100,3.09,CN,1648023086
Bambanglipuro,-7.95,110.2833,85.75,66,29,5.86,ID,1648023087
Nioro,13.35,-15.75,72.39,37,3,4.43,GM,1648023087
Benguela,-12.5763,13.4055,79.27,83,100,10.45,AO,1648023089
Dubbo,-32.25,148.6167,78.93,38,51,3.44,AU,1648023089
Nouadhibou,20.931,-17.0347,60.73,78,0,23.71,MR,1648023090
Okhtyrka,50.3104,34.8988,43.52,74,0,5.57,UA,1648023091
Hammerfest,70.6634,23.6821,25.25,93,75,9.22,NO,1648023092
Bāndarban,22.1965,92.2262,101.39,22,11,5.57,BD,1648023092
Poronaysk,49.2167,143.1167,29.16,75,0,4.47,RU,1648023093
Dongsheng,39.8161,109.9776,51.44,25,0,12.86,CN,1648023094
Linxia Chengguanzhen,35.6003,103.2064,66.06,13,0,5.75,CN,1648023095
Olinda,-8.0089,-34.8553,74.93,100,75,2.3,BR,1648023095
Tommot,58.9564,126.2925,27.79,82,100,5.91,RU,1648023096
Quatre Cocos,-20.2078,57.7625,86.09,69,97,11.95,MU,1648023097
Harindānga,22.0383,88.3214,94.08,40,79,14.34,IN,1648023098
Kasongo-Lunda,-6.4667,16.8167,74.01,74,100,3.33,CD,1648023099
Brae,60.3964,-1.353,47.23,90,92,11.45,GB,1648023099
Karatau,43.1667,70.4667,34.14,100,100,2.15,KZ,1648023100
Mékhé,15.1097,-16.6218,65.23,77,3,15.12,SN,1648023101
Fortuna Foothills,32.6578,-114.4119,71.08,23,0,5.75,US,1648023102
